impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K19-122788,A598970,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Ms Jazz,Cat,12 YEARS 3 MONTHS,Spayed Female,Domestic Shorthair,Brn Tabby / White,10/18/2019 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,SEATTLE,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A598970,Image Copyright HLP Inc. 2020,"Received on: 2019-10-18<p/> Description: Brn Tabby / White Spayed Female Domestic Shorthair Cat<p/> Age: 12 YEARS 3 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Ms Jazz and I am available for adoption.<p/><p/>I was brought in on October 18, 2019 because my previous owner passed away.<p/><p/>I am an affectionate lovebug who likes getting attention on my own terms. I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break.<p/><p/>I was previously declawed on all four paws. Because I can't protect myself outside, I need to be an indoor-only cat.<p/><p/>Because of my older age, I would do best in a calm, quiet home with respectful children<p/><p/>My personality color is RED. I am a spirited cat with a fun-loving personality! I may be sensitive to handling, so I would do best in a home with a cat savvy family who knows when to give me some space.<p/>",GREEN
K20-124972,A605738,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2078395,LOST,Abby,Dog,,Female,Chihuahua - Smooth Coated,Unknown,01/18/2020 12:00:00 AM,Date Lost,APT 425,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2078395,Image Copyright HLP Inc. 2020,,
K20-125108,A606159,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2080510,LOST,Ally,Cat,,Female,Domestic Longhair,Unknown,01/23/2020 12:00:00 AM,Date Lost,27207 SE 188TH ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2080510,Image Copyright HLP Inc. 2020,,
K20-125177,A606485,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A606485,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Seras,Dog,8 MONTHS,Female,Boxer / Mix,Br Brindle / White,01/29/2020 12:00:00 AM,Received on,18600 SE 128TH ST,RENTON,WA,98059,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A606485,Image Copyright HLP Inc. 2020,"Received on: 2020-01-29<p/> Found Near: 18600 SE 128TH ST, RENTON WA 98059<p/> Description: Br Brindle / White Female Boxer / Mix Dog<p/> Age: 8 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K20-125251,A606684,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A606684,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,2 YEARS,Neutered Male,Siberian Husky,Red / White,02/03/2020 12:00:00 AM,Received on,8500 S 121ST ST,SEATTLE,WA,98178,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A606684,Image Copyright HLP Inc. 2020,"Received on: 2020-02-03<p/> Found Near: 8500 S 121ST ST, SEATTLE WA 98178<p/> Description: Red / White Neutered Male Siberian Husky Dog<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K20-124929,A605584,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A605584,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",T Bone,Dog,8 YEARS,Neutered Male,Boxer / Chow Chow,Red / White,01/17/2020 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A605584,Image Copyright HLP Inc. 2020,"Received on: 2020-01-17<p/> Description: Red / White<p/>  Neutered Male Boxer / Chow Chow Dog<p/> Age: 8 YEARS<p/> Adoption Fee: $100.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is T Bone and I am available for adoption.<p/><p/>I was brought in by a good samaritan on January 17, 2020.<p/><p/>I am an independent dog who likes to do my own thing! <p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>My caregivers have noticed that I seem to do well with other dogs. When meeting dogs in a new home, I would do best with a slow introduction.<p/><p/>I would do best in a home with older children because I don't always like to share things.<p/><p/>My personality color is RED. I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/><p/>",RED
K20-125240,A606655,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2083032,In Public Home,,Dog,Unknown,Female,Chihuahua - Smooth Coated,White,02/01/2020 12:00:00 AM,Date Found,160TH ST. AND 193RD AVE SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2083032,Image Copyright HLP Inc. 2020,Description: We Found the dog running in the street.  We were afraid she would get hit by a car. She was really scared and afraid.<p/>Age: Unknown<p/>Location Found: 160th St. and 193rd Ave SE<p/>Notes: <p/>Found Date: 02/01/2020<p/>Finder Address:  Renton WA 98058,
K20-125000,A605870,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2078948,LOST,Wanda,Cat,,Female,American Shorthair,Unknown,01/20/2020 12:00:00 AM,Date Lost,25400 120TH PLACE SE,KENT,WA,98030,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2078948,Image Copyright HLP Inc. 2020,,
K20-125159,A574929,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A574929,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Georgie,Cat,9 YEARS 2 MONTHS,Spayed Female,Domestic Shorthair,Brn Tabby / White,01/28/2020 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A574929,Image Copyright HLP Inc. 2020,"Received on: 2020-01-28<p/> Description: Brn Tabby / White<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 9 YEARS 2 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>[EXTERNAL Email Notice! ] External communication is important to us. Be cautious of phishing attempts. Do not click or open suspicious links or attachments.<p/><p/>Hi! My name is Georgie. I'm a 9 year old spayed female domestic short hair tabby cat. I used to live in a home with another cat and a dog. I also lived with kids, but I wasn't a good fit there. Having said that, I'm a little shy with kids and other cats, and would prefer to be your one and only kitty. I could live with another cat as long as I could eat separately from them. Please choose me!<p/>",GREEN
K20-125065,A606083,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A606083,"Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033",Miley,Cat,3 YEARS 7 MONTHS,Spayed Female,Domestic Shorthair,Black,01/24/2020 12:00:00 AM,Received on,12040 NE 85TH ST,KIRKLAND,WA,98033,KIRKLAND,47.680519,-122.179195,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A606083,Image Copyright HLP Inc. 2020,"Received on: 2020-01-24<p/> Description: Black<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 3 YEARS 7 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033<p/>Hi! My name is Miley and I am available for adoption.<p/><p/>I was brought in by an Animal Control Officer on January 24th because my owner had passed away.<p/><p/>I am quite shy at first, but once we become friends, I can be very snuggly. I like getting attention on my own terms. I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break. My caregivers have noticed that I seem to do well with other cats. When meeting cats in a new home, I would do best with a slow introduction.<p/><p/>My personality color is RED. I am a spirited cat with a fun-loving personality! I may be sensitive to handling, so I would do best in a home with a cat savvy family who knows when to give me some space.<p/>",RED
